instance_id,box_id,length,width,height
2,12,70.0,41.0,37.0
2,13,70.0,20.5,21.0
2,14,70.0,16.5,21.0
3,0,100.0,37.0,31.0
3,1,34.0,59.0,54.0
3,2,59.0,46.0,34.0
3,3,69.0,37.0,48.0
3,4,58.0,100.0,16.5
3,5,41.0,35.0,34.0
3,6,65.0,34.0,41.0
3,7,39.0,12.5,58.0
3,8,58.0,12.5,61.0
3,9,69.0,52.0,20.5
3,10,16.5,52.0,69.0
3,11,100.0,42.0,14.5
3,12,100.0,14.5,16.0
3,13,14.5,100.0,26.0
4,0,19.0,49.0,32.0
4,1,40.0,22.0,32.0
4,2,11.0,49.0,51.0
4,3,49.0,51.0,21.0
4,4,27.0,40.0,32.0
4,5,32.0,100.0,30.0
4,6,17.5,28.0,70.0
4,7,13.5,70.0,28.0
4,8,30.0,100.0,42.0
4,9,26.0,50.0,30.0
4,10,26.0,30.0,50.0
4,11,70.0,68.0,9.5
4,12,69.0,70.0,14.0
4,13,14.0,70.0,69.0
4,14,32.0,15.5,40.0
4,15,15.0,25.0,45.0
4,16,23.0,15.0,25.0
4,17,19.0,68.0,15.5
4,18,15.5,51.0,68.0
4,19,9.0,40.0,5.5
4,20,23.0,5.5,40.0
4,21,45.0,49.0,15.0
4,22,45.0,19.0,15.0
4,23,32.0,31.0,51.0
4,24,39.0,51.0,32.0
5,0,8.5,29.0,48.0
5,1,11.25,43.0,71.0
5,2,43.0,51.5,58.0
5,3,19.5,58.0,16.5
5,4,21.25,57.0,57.0
5,5,21.25,22.5,30.5
5,6,43.0,15.25,21.5
5,7,10.5,40.0,31.0
5,8,10.5,40.0,21.0
5,9,43.0,42.0,20.5
5,10,48.0,20.5,37.0
5,11,48.0,20.5,19.0
5,12,43.0,42.0,29.25
5,13,43.0,21.25,42.0
5,14,21.0,26.0,18.5
5,15,18.5,21.0,26.0
5,16,19.5,33.0,26.5
5,17,9.625,34.5,57.0
5,18,57.0,34.5,11.625
5,19,28.5,28.5,26.5
5,20,26.5,28.5,28.5
5,21,15.0,48.0,20.5
5,22,29.0,20.5,48.0
5,23,28.5,37.5,30.5
5,24,19.5,28.5,30.5
5,25,10.5,52.0,18.5
5,26,52.0,8.5,18.5
5,27,21.25,26.5,14.25
5,28,8.25,26.5,21.25
5,29,15.25,21.5,49.5
5,30,15.25,49.5,21.5
5,31,26.5,25.0,7.75
5,32,26.5,11.75,25.0
5,33,15.25,43.0,12.25
5,34,18.25,43.0,15.25
5,35,43.0,28.5,14.25
5,36,43.0,16.25,28.5
5,37,30.5,30.5,27.25
5,38,12.5,30.5,27.25
5,39,31.5,8.5,48.0
5,40,48.0,39.5,8.5
5,41,20.0,60.0,29.0
5,42,32.0,29.0,60.0
6,0,100.0,20.0,100.0
6,1,26.0,100.0,14.0
6,2,39.0,54.0,54.0
6,3,58.0,26.0,36.0
6,4,46.0,54.0,24.5
6,5,46.0,54.0,14.5
6,6,26.0,74.0,28.0
6,7,28.0,26.0,26.0
6,8,58.0,33.0,26.0
6,9,26.0,58.0,31.0
6,10,100.0,27.5,54.0
6,11,54.0,33.5,68.0
6,12,54.0,33.5,32.0
7,0,47.0,37.0,50.0
7,1,49.0,10.25,50.0
7,2,37.0,27.0,26.5
7,3,50.0,16.5,37.0
7,4,27.0,36.5,16.5
7,5,26.0,37.0,35.5
7,6,37.0,26.0,27.5
7,7,20.5,16.5,36.5
7,8,50.0,11.0,16.5
7,9,29.0,16.5,50.0
7,10,20.5,18.5,50.0
7,11,63.0,22.5,35.0
7,12,18.5,37.5,65.0
7,13,31.5,40.5,16.75
7,14,24.5,16.75,31.5
7,15,60.0,16.5,35.0
7,16,40.0,15.0,16.5
7,17,20.0,15.0,16.5
7,18,8.75,11.75,65.0
7,19,19.75,8.75,65.0
7,20,26.5,47.0,20.5
7,21,50.0,11.25,20.5
7,22,11.25,16.5,50.0
7,23,14.0,20.5,32.5
7,24,32.5,20.5,36.0
7,25,40.5,21.5,63.0
7,26,13.5,40.5,63.0
7,27,8.25,36.5,47.0
7,28,47.0,36.5,12.25
7,29,17.0,37.0,25.25
7,30,33.0,25.25,37.0
7,31,10.25,31.0,49.0
7,32,11.75,65.0,25.5
7,33,47.0,4.25,63.0
7,34,63.0,12.25,47.0
7,35,44.5,47.5,37.5
7,36,44.5,37.5,17.5
7,37,25.5,46.5,19.75
7,38,19.75,25.5,18.5
7,39,49.0,10.25,9.5
7,40,9.5,49.0,10.25
7,41,36.5,7.25,10.5
7,42,13.25,22.25,10.5
7,43,14.25,10.5,7.625
7,44,5.625,14.25,10.5
8,0,8.5,100.0,33.0
8,1,30.0,18.5,100.0
8,2,35.5,55.0,29.0
8,3,60.0,24.25,30.0
8,4,38.0,20.5,33.0
8,5,12.5,67.0,29.0
8,6,71.0,33.0,28.0
8,7,24.5,29.0,32.5
8,8,32.5,29.0,42.5
8,9,15.0,24.25,40.0
8,10,10.125,100.0,30.0
8,11,29.0,16.0,71.0
8,12,16.0,18.5,37.0
8,13,44.5,34.0,16.0
8,14,34.0,26.5,16.0
8,15,33.0,26.0,40.5
8,16,33.0,26.0,30.5
8,17,55.0,29.0,10.75
8,18,32.5,29.0,20.75
8,19,29.0,22.5,20.75
8,20,48.5,34.0,67.0
8,21,15.0,24.25,19.0
8,22,15.0,21.0,24.25
8,23,16.5,16.0,52.5
8,24,20.5,52.5,16.0
8,25,20.5,14.5,62.0
8,26,18.5,62.0,20.5
8,27,67.0,20.0,21.25
8,28,22.5,54.0,40.5
8,29,22.5,54.0,26.5
8,30,18.125,70.0,30.0
8,31,30.0,18.125,30.0
8,32,27.25,67.0,14.0
8,33,6.0,67.0,27.25
9,0,42.0,34.0,29.0
9,1,30.0,29.0,34.0
9,2,9.0,64.0,18.0
9,3,19.0,18.0,64.0
9,4,55.0,38.0,22.0
9,5,45.0,27.5,38.0
9,6,27.5,38.0,45.0
9,7,32.5,38.0,44.0
9,8,44.0,22.5,38.0
9,9,45.0,25.0,25.5
9,10,19.5,25.0,45.0
9,11,100.0,12.0,28.0
9,12,100.0,28.0,10.0
9,13,22.0,37.0,62.0
9,14,38.0,19.5,34.0
9,15,18.0,28.0,18.0
9,16,18.0,28.0,18.0
9,17,9.5,62.0,22.0
9,18,33.0,34.0,24.5
9,19,18.5,33.0,15.0
9,20,19.0,16.0,62.0
9,21,54.0,22.0,28.0
9,22,22.0,8.75,62.0
9,23,62.0,16.75,22.0
9,24,18.5,19.0,20.5
9,25,19.0,18.5,12.5
9,26,22.0,28.0,31.0
9,27,15.0,28.0,22.0
9,28,53.0,16.0,46.0
9,29,53.0,16.0,16.0
9,30,23.0,62.0,33.0
9,31,15.0,33.0,62.0
9,32,21.0,29.0,28.0
9,33,51.0,29.0,28.0
9,34,45.0,13.0,12.5
9,35,13.0,45.0,32.5
9,36,16.75,38.0,34.0
9,37,38.0,34.0,18.75
9,38,33.0,19.0,21.0
9,39,13.0,19.0,33.0
10,0,51.0,50.0,65.0
10,1,35.0,22.0,51.0
10,2,51.0,28.0,35.0
10,3,26.5,100.0,50.0
10,4,69.0,50.0,22.0
10,5,50.0,69.0,22.0
10,6,100.0,22.5,19.0
10,7,22.5,100.0,31.0
10,8,31.0,32.0,15.0
10,9,68.0,31.0,15.0
10,10,31.0,70.0,35.0
10,11,31.0,30.0,35.0
10,12,100.0,27.5,28.0
10,13,100.0,41.5,28.0
11,0,60.0,15.5,18.0
11,1,46.0,30.0,23.5
11,2,24.5,30.0,37.0
11,3,15.25,35.0,43.0
11,4,61.0,22.0,21.0
11,5,21.0,61.0,14.0
11,6,25.0,15.5,15.25
11,7,25.0,15.25,27.5
11,8,11.0,100.0,62.0
11,9,60.0,18.0,18.75
11,10,8.75,60.0,18.0
11,11,18.0,60.0,28.5
11,12,23.0,24.5,10.0
11,13,20.0,24.5,23.0
11,14,18.0,100.0,8.5
11,15,34.0,16.25,60.0
11,16,8.25,60.0,34.0
11,17,32.5,24.0,21.0
11,18,32.5,36.0,21.0
11,19,25.0,36.0,10.5
11,20,35.0,10.5,36.0
11,21,38.0,31.0,17.0
11,22,30.0,19.5,17.0
11,23,31.0,17.0,23.0
11,24,21.0,10.5,23.0
11,25,20.5,21.0,23.0
11,26,14.0,28.5,46.0
11,27,28.5,46.0,16.0
11,28,18.0,28.0,28.5
11,29,28.5,18.0,32.0
11,30,17.0,29.0,100.0
11,31,18.0,13.25,100.0
11,32,18.0,100.0,7.25
11,33,9.0,19.5,29.0
11,34,29.0,21.0,19.5
11,35,17.0,39.0,61.0
11,36,19.0,39.0,61.0
11,37,28.0,27.0,29.0
11,38,11.0,40.0,69.0
11,39,40.0,27.0,32.5
11,40,27.0,45.0,29.0
11,41,29.0,27.0,27.0
11,42,36.5,24.0,27.0
11,43,36.5,27.0,16.0
11,44,14.5,25.0,30.0
11,45,30.0,14.5,21.0
11,46,16.5,17.25,60.0
11,47,60.0,26.5,17.25
12,0,39.0,57.0,46.0
12,1,46.0,41.5,25.5
12,2,56.0,43.0,29.0
12,3,35.0,29.0,33.0
12,4,29.0,33.0,11.5
12,5,17.0,56.0,21.5
12,6,56.0,17.0,21.5
12,7,34.0,54.0,33.5
12,8,23.0,33.5,34.0
12,9,33.5,31.0,34.0
12,10,52.5,19.0,33.0
12,11,19.0,18.5,33.0
12,12,33.0,35.0,46.5
12,13,24.5,16.5,35.0
12,14,24.5,35.0,16.5
12,15,43.5,23.0,39.0
12,16,39.0,43.5,31.0
12,17,54.0,30.0,23.5
12,18,20.0,25.5,19.5
12,19,19.75,27.0,54.0
12,20,27.0,54.0,23.75
12,21,13.0,44.0,43.0
12,22,43.0,44.0,33.0
12,23,16.75,15.75,46.0
12,24,16.75,46.0,5.875
12,25,9.875,16.75,46.0
12,26,7.5,33.0,18.5
12,27,7.5,10.5,33.0
12,28,18.75,31.5,21.0
12,29,18.75,31.5,25.0
12,30,13.0,25.5,19.5
12,31,19.5,25.5,13.0
12,32,23.5,27.0,36.0
12,33,23.5,27.0,36.0
12,34,46.0,31.5,17.75
12,35,7.75,46.0,31.5
13,0,50.0,38.0,54.0
13,1,28.0,62.0,50.0
13,2,50.0,26.0,19.0
13,3,100.0,53.0,46.0
13,4,50.0,37.0,31.0
13,5,23.0,37.0,50.0
13,6,50.0,21.5,54.0
13,7,14.0,43.0,50.0
13,8,50.0,12.0,43.0
13,9,50.0,54.0,13.75
13,10,40.0,47.0,46.0
13,11,46.0,47.0,60.0
13,12,50.0,13.875,54.0
13,13,50.0,54.0,13.875
14,0,16.5,64.0,44.0
14,1,34.0,31.0,25.0
14,2,14.0,100.0,36.0
14,3,100.0,17.0,8.0
14,4,19.0,8.0,100.0
14,5,24.5,22.0,64.0
14,6,24.0,14.0,69.0
14,7,41.0,44.0,24.0
14,8,44.0,41.0,12.0
14,9,22.0,16.0,68.0
14,10,28.0,18.0,38.0
14,11,15.0,31.0,12.0
14,12,6.0,16.0,30.5
14,13,38.5,16.0,6.0
14,14,38.0,19.0,18.0
14,15,100.0,18.0,11.0
14,16,11.0,100.0,18.0
14,17,62.0,22.0,34.0
14,18,16.0,15.0,22.0
14,19,22.0,17.0,16.0
14,20,18.25,17.0,72.0
14,21,44.0,20.5,50.0
14,22,22.0,100.0,19.0
14,23,22.0,11.0,100.0
14,24,64.0,15.0,24.5
14,25,64.0,24.5,7.0
14,26,28.0,38.5,19.0
14,27,10.25,44.0,50.0
14,28,10.25,50.0,44.0
14,29,15.0,31.0,13.0
14,30,15.0,9.0,31.0
14,31,72.0,24.25,27.0
14,32,72.0,14.25,27.0
14,33,69.0,20.0,27.0
14,34,20.0,13.0,69.0
14,35,38.0,16.0,53.0
14,36,38.0,18.0,28.5
14,37,38.0,24.5,18.0
14,38,25.0,16.25,28.0
14,39,25.0,22.25,28.0
14,40,20.25,51.0,17.0
14,41,20.25,21.0,17.0
14,42,23.0,34.0,22.0
14,43,15.0,22.0,34.0
14,44,28.5,16.0,38.0
14,45,38.0,16.0,18.5
14,46,16.0,29.5,8.0
14,47,39.5,16.0,8.0
15,0,58.0,22.0,100.0
15,1,27.0,72.0,40.0
15,2,20.0,100.0,17.0
15,3,41.0,20.0,50.0
15,4,18.0,21.5,58.0
15,5,8.0,61.0,58.0
15,6,61.0,58.0,10.0
15,7,26.0,34.0,51.0
15,8,66.0,51.0,26.0
15,9,17.0,31.0,72.0
15,10,31.0,23.0,47.0
15,11,31.0,25.0,23.0
15,12,22.0,40.0,49.0
15,13,41.0,20.0,22.0
15,14,28.0,41.0,20.0
15,15,37.0,28.0,40.0
15,16,21.0,28.0,40.0
15,17,20.0,40.0,23.5
15,18,25.5,20.0,40.0
15,19,31.0,51.0,16.0
15,20,18.0,43.0,17.5
15,21,18.0,15.0,17.5
15,22,60.0,32.5,42.0
15,23,16.5,42.0,60.0
15,24,69.0,16.0,13.5
15,25,16.0,69.0,37.5
16,0,100.0,52.0,50.0
16,1,41.5,48.0,100.0
16,2,18.0,35.0,52.0
16,3,48.0,41.0,19.5
16,4,18.0,15.0,65.0
16,5,48.0,100.0,8.75
16,6,10.0,26.0,100.0
16,7,60.0,32.0,26.0
16,8,26.0,32.0,40.0
16,9,39.0,48.0,20.5
16,10,20.5,48.0,39.0
16,11,41.5,23.5,48.0
16,12,48.0,17.5,41.5
16,13,48.0,8.75,34.0
16,14,48.0,66.0,8.75
16,15,37.0,18.0,26.5
16,16,18.0,37.0,38.5
16,17,26.0,22.0,45.0
16,18,55.0,26.0,22.0
17,0,45.0,14.0,46.0
17,1,41.0,43.5,100.0
17,2,46.0,55.0,27.0
17,3,46.0,30.0,25.5
17,4,100.0,21.0,44.0
17,5,38.0,43.5,15.0
17,6,62.0,15.0,43.5
17,7,33.0,56.0,30.0
17,8,19.5,46.0,9.0
17,9,46.0,21.0,19.5
17,10,13.0,100.0,33.0
17,11,33.0,31.0,26.0
17,12,74.0,33.0,31.0
17,13,17.0,18.5,46.0
17,14,22.0,100.0,23.5
17,15,32.0,33.0,56.0
17,16,56.0,38.0,33.0
17,17,100.0,34.0,10.75
17,18,12.75,100.0,34.0
17,19,17.0,46.0,10.25
17,20,17.0,46.0,26.25
18,0,68.0,37.0,14.5
18,1,37.0,20.0,21.5
18,2,20.0,37.0,25.5
18,3,16.5,53.0,32.0
18,4,53.0,32.0,20.5
18,5,100.0,10.375,48.0
18,6,100.0,10.375,52.0
18,7,20.0,21.5,37.0
18,8,20.75,46.0,29.0
18,9,29.0,20.75,54.0
18,10,41.0,8.375,71.0
18,11,37.0,25.5,11.0
18,12,24.5,8.375,59.0
18,13,46.5,59.0,8.375
18,14,53.0,73.0,10.375
18,15,43.0,11.25,37.0
18,16,9.0,25.5,25.5
18,17,11.5,25.5,9.0
18,18,42.5,53.0,12.375
18,19,47.0,42.5,12.375
18,20,48.0,21.5,29.0
18,21,21.5,29.0,52.0
18,22,17.625,37.0,43.0
18,23,37.0,9.625,43.0
18,24,56.0,18.5,21.5
18,25,44.0,47.0,18.5
18,26,47.0,5.1875,73.0
18,27,73.0,47.0,5.1875
18,28,26.0,12.375,28.5
18,29,12.375,28.5,74.0
18,30,25.5,18.5,44.0
18,31,21.5,44.0,18.5
18,32,6.75,19.0,71.0
18,33,71.0,19.0,14.75
18,34,37.0,12.5,38.5
18,35,12.5,38.5,37.0
18,36,21.5,47.5,25.0
18,37,23.5,21.5,25.0
18,38,52.5,21.5,32.0
18,39,52.5,21.5,24.0
18,40,27.0,41.0,10.375
18,41,27.0,10.375,59.0
18,42,37.0,16.5,16.0
18,43,16.0,30.5,37.0
19,0,43.0,41.0,17.75
19,1,41.0,15.75,43.0
19,2,31.0,27.0,21.5
19,3,17.75,30.0,73.0
19,4,7.75,30.0,73.0
19,5,16.5,31.0,41.0
19,6,16.5,41.0,69.0
19,7,15.5,26.5,41.0
19,8,16.5,41.0,15.5
19,9,27.0,13.5,59.0
19,10,27.0,59.0,25.5
19,11,100.0,34.5,19.5
19,12,38.5,33.5,33.0
19,13,38.5,33.0,39.5
19,14,25.75,59.0,13.0
19,15,13.0,15.75,59.0
19,16,28.0,21.5,34.5
19,17,34.5,72.0,21.5
19,18,21.5,27.0,37.5
19,19,9.5,27.0,37.5
19,20,33.0,73.0,7.25
19,21,33.0,13.25,73.0
19,22,30.0,22.5,33.5
19,23,50.5,33.5,30.0
19,24,49.0,57.0,16.5
19,25,57.0,24.5,49.0
19,26,17.5,24.0,73.0
19,27,10.75,59.0,13.0
19,28,20.75,13.0,59.0
19,29,73.0,28.75,24.0
19,30,73.0,12.75,24.0
19,31,17.5,27.0,30.0
19,32,30.0,41.5,27.0
20,0,25.0,39.0,48.0
20,1,34.0,14.0,30.0
20,2,20.0,52.0,25.0
20,3,50.0,36.0,26.0
20,4,34.0,14.0,35.0
20,5,28.0,24.0,30.0
20,6,10.0,30.0,16.0
20,7,10.0,30.0,12.0
20,8,31.0,32.0,20.0
20,9,40.0,20.0,31.0
20,10,22.0,31.0,33.0
20,11,28.0,66.0,28.0
20,12,28.0,66.0,14.0
20,13,22.0,50.0,26.0
20,14,26.0,50.0,14.0
20,15,35.0,28.0,21.0
20,16,35.0,28.0,13.0
20,17,6.5,54.0,52.0
20,18,54.0,26.0,18.5
20,19,18.5,54.0,26.0
20,20,17.5,42.0,72.0
20,21,35.0,12.5,48.0
20,22,35.0,48.0,12.5
20,23,11.0,74.0,69.0
20,24,74.0,11.0,31.0
20,25,11.5,42.0,34.0
20,26,34.0,23.5,42.0
20,27,28.0,72.0,17.5
20,28,17.5,72.0,14.0
20,29,22.5,31.0,22.0
20,30,16.5,31.0,22.0
20,31,100.0,22.0,50.0
20,32,22.0,50.0,100.0
21,0,100.0,22.5,29.0
21,1,57.0,52.0,12.25
21,2,32.5,48.0,31.5
21,3,32.5,25.5,48.0
21,4,26.0,45.0,57.0
21,5,57.0,20.25,38.0
21,6,57.0,14.0,20.25
21,7,22.5,40.5,42.0
21,8,43.0,70.0,32.5
21,9,30.0,43.0,32.5
21,10,30.5,21.0,22.5
21,11,30.5,22.5,21.0
21,12,45.0,50.0,28.0
21,13,50.0,45.0,28.0
21,14,18.5,43.0,10.0
21,15,26.5,10.0,43.0
21,16,22.5,49.5,58.0
21,17,22.5,21.5,58.0
21,18,50.0,45.0,24.0
21,19,32.0,45.0,50.0
21,20,43.0,16.0,20.5
21,21,43.0,16.0,24.5
21,22,18.0,50.0,27.5
21,23,50.0,17.5,18.0
21,24,12.5,50.0,18.0
21,25,50.0,32.5,18.0
22,0,50.0,32.0,11.5
22,1,17.5,32.0,21.0
22,2,32.0,17.5,29.0
22,3,50.0,63.0,8.0
22,4,65.0,27.0,15.0
22,5,20.5,50.0,58.0
22,6,11.0,50.0,46.0
22,7,50.0,54.0,11.0
22,8,16.5,50.0,15.0
22,9,69.0,50.0,13.0
22,10,68.0,50.0,14.5
22,11,50.0,25.0,14.5
22,12,15.0,29.0,100.0
22,13,10.5,30.0,50.0
22,14,30.0,43.0,16.5
22,15,43.0,16.5,20.0
22,16,63.0,50.0,13.0
22,17,50.0,27.0,63.0
22,18,35.0,13.0,15.0
22,19,37.0,15.0,35.0
22,20,50.0,30.5,18.0
22,21,32.5,50.0,18.0
22,22,17.0,50.0,27.5
22,23,50.0,17.0,41.5
22,24,43.0,14.0,14.5
22,25,43.0,36.0,14.5
22,26,30.0,20.5,25.0
22,27,37.0,26.0,42.0
22,28,42.0,37.0,24.0
22,29,15.0,5.5,100.0
22,30,63.0,22.0,50.0
22,31,15.5,15.0,59.0
22,32,41.0,15.5,15.0
22,33,65.0,8.5,23.0
22,34,6.5,23.0,65.0
22,35,21.0,63.0,12.0
22,36,29.0,12.0,63.0
22,37,25.0,30.0,7.25
22,38,30.0,13.25,25.0
23,0,100.0,39.0,36.0
23,1,23.0,44.0,35.0
23,2,100.0,39.0,13.0
23,3,61.0,36.0,60.0
23,4,25.5,100.0,13.0
23,5,55.0,23.0,56.0
23,6,40.0,36.0,30.5
23,7,13.0,100.0,17.75
23,8,56.0,13.5,45.0
23,9,9.5,56.0,45.0
23,10,17.75,49.0,13.0
23,11,51.0,17.75,13.0
23,12,13.0,30.5,40.0
23,13,40.0,30.5,23.0
23,14,11.0,100.0,37.0
23,15,100.0,25.5,17.0
23,16,17.0,100.0,11.5
23,17,65.0,23.0,18.0
23,18,30.5,26.0,23.0
23,19,23.0,34.5,26.0
23,20,4.0,63.0,100.0
23,21,100.0,4.0,63.0
23,22,32.5,100.0,10.0
23,23,100.0,10.0,32.5
23,24,20.0,73.0,30.5
23,25,30.5,27.0,20.0
24,0,28.0,48.0,23.0
24,1,48.0,23.0,72.0
24,2,100.0,17.5,52.0
24,3,100.0,48.0,17.5
24,4,17.5,100.0,50.0
24,5,43.0,50.0,17.5
24,6,17.5,50.0,57.0
24,7,23.0,30.0,52.0
24,8,52.0,23.0,70.0
24,9,42.0,26.0,68.0
24,10,42.0,68.0,30.0
24,11,44.0,42.0,42.0
24,12,32.0,28.0,51.0
24,13,28.0,49.0,32.0
24,14,26.0,13.0,44.0
24,15,29.0,44.0,26.0
24,16,14.0,32.0,48.0
24,17,14.0,52.0,32.0
25,0,44.0,32.0,44.0
25,1,52.0,39.0,56.0
25,2,28.0,44.0,32.0
25,3,27.0,38.0,47.0
25,4,47.0,38.0,17.0
25,5,28.0,56.0,39.5
25,6,26.0,37.0,100.0
25,7,26.0,28.0,19.0
25,8,9.0,44.0,32.0
25,9,19.0,26.0,33.0
25,10,26.0,19.0,39.0
25,11,44.0,38.0,20.5
25,12,32.5,44.0,38.0
25,13,32.0,30.0,30.0
25,14,30.0,14.0,32.0
25,15,21.5,56.0,25.0
25,16,56.0,49.0,21.5
25,17,27.5,56.0,22.0
25,18,22.0,11.5,56.0
25,19,56.0,33.0,39.5
25,20,56.0,13.0,39.5
25,21,22.0,19.0,32.0
25,22,32.0,22.0,19.0
25,23,15.0,68.0,44.0
25,24,68.0,15.0,44.0
26,0,29.0,33.0,100.0
26,1,13.0,33.0,61.0
26,2,39.0,13.0,33.0
26,3,42.0,100.0,18.5
26,4,100.0,42.0,48.5
26,5,19.0,100.0,58.0
26,6,13.0,100.0,58.0
26,7,28.0,68.0,58.0
26,8,58.0,68.0,16.0
26,9,38.0,58.0,56.0
26,10,56.0,58.0,30.0
27,0,31.5,44.0,10.25
27,1,31.5,8.25,44.0
27,2,39.0,13.0,21.5
27,3,39.0,13.0,21.5
27,4,23.0,23.0,40.0
27,5,23.0,23.0,60.0
27,6,44.0,33.0,9.25
27,7,44.0,9.25,33.0
27,8,26.0,57.0,21.5
27,9,26.0,57.0,17.5
27,10,22.5,35.0,52.0
27,11,27.0,50.0,27.0
27,12,29.0,23.0,38.0
27,13,52.0,35.0,16.25
27,14,22.0,45.5,39.0
27,15,39.0,22.0,21.5
27,16,57.0,30.0,27.0
27,17,27.0,57.0,22.0
27,18,19.0,56.0,21.0
27,19,19.0,29.0,56.0
27,20,44.0,18.5,20.75
27,21,18.5,44.0,4.375
27,22,44.0,10.375,18.5
27,23,18.0,27.0,11.0
27,24,27.0,11.0,32.0
27,25,27.0,12.5,38.0
27,26,20.0,11.0,38.0
27,27,24.0,38.0,11.0
27,28,21.5,33.0,62.0
27,29,62.0,21.5,33.0
27,30,30.0,35.0,18.25
27,31,22.0,18.25,35.0
27,32,44.0,11.0,42.0
27,33,44.0,20.0,11.0
27,34,62.0,19.0,22.5
27,35,20.5,62.0,19.0
27,36,8.5,44.0,59.0
27,37,8.5,41.0,44.0
27,38,39.0,33.0,8.0
27,39,14.0,39.0,33.0
27,40,6.5,23.0,100.0
27,41,18.5,23.0,100.0
27,42,27.0,16.5,26.0
27,43,27.0,12.0,16.5
27,44,30.0,19.0,56.0
27,45,26.0,8.75,39.0
27,46,26.0,12.75,39.0
27,47,29.0,20.0,19.0
27,48,19.0,20.0,27.0
28,0,33.0,57.0,9.5
28,1,57.0,33.0,17.5
28,2,30.5,67.0,18.0
28,3,67.0,16.0,30.5
28,4,9.25,27.5,30.0
28,5,14.25,51.0,33.0
28,6,44.5,51.0,33.0
28,7,18.0,24.5,27.5
28,8,33.0,60.0,14.25
28,9,40.0,14.25,33.0
28,10,14.25,49.0,9.5
28,11,23.5,14.25,49.0
28,12,18.0,12.25,27.5
28,13,27.5,12.25,34.0
28,14,67.0,10.5,9.25
28,15,9.25,67.0,10.5
28,16,40.5,23.0,17.25
28,17,11.0,17.25,40.5
28,18,19.5,49.0,18.5
28,19,18.5,47.5,49.0
28,20,12.5,32.25,49.0
28,21,49.0,12.5,12.25
28,22,51.0,18.5,24.5
28,23,19.5,33.0,27.0
28,24,27.0,23.5,33.0
28,25,15.75,12.25,52.0
28,26,12.25,52.0,11.75
28,27,10.75,33.5,66.0
28,28,4.75,66.0,33.5
28,29,20.0,27.5,15.25
28,30,15.25,10.0,27.5
28,31,7.25,41.0,39.5
28,32,39.5,7.25,59.0
28,33,44.5,32.5,20.5
28,34,16.5,20.5,44.5
28,35,34.0,26.5,8.625
28,36,34.0,26.5,8.625
28,37,15.0,57.0,33.5
28,38,33.5,57.0,15.0
28,39,33.5,41.5,29.0
28,40,41.5,33.5,37.0
28,41,9.25,41.5,13.0
28,42,9.25,25.5,13.0
28,43,51.0,18.5,22.25
28,44,11.25,51.0,20.25
